Gene,Degree
TNFRSF9,14
GLDC,14
SUV39H1,14
MTHFD1,14
SLBP,14
GRB10,14
GTF2A2,14
MED6,14
GTF2E1,14
ARF6,14
GCH1,14
TNFRSF1B,14
ATF6,14
CTNNA1,14
GPD2,14
TOMM20,14
DTYMK,14
PDE6A,14
GNA14,14
APBA1,14
GMNN,14
HYOU1,14
TCEA2,14
SAP18,14
EFNA5,14
FZD4,14
PLAUR,14
FCGR2A,14
GSS,14
TXNRD1,14
CYP1B1,14
CSF3R,14
BACE1,14
PBX1,14
AGTR1,14
ACO1,14
CCL24,14
AMPD3,14
PMPCB,14
ACE,14
PLAU,14
PLEK,14
APAF1,14
CSTF2,14
GNG7,14
CACNA2D1,14
RYR1,14
CACNA1G,14
VEZT,14
MGST2,14
DDX49,14
ISG20,14
BAK1,14
ALDH9A1,14
EXOSC2,14
DDX24,13
LILRB1,13
UBL4A,13
CD209,13
DERA,13
CPEB1,13
MYLK,13
RNF7,13
PLAT,13
IL21R,13
USP1,13
RIPK2,13
IGF2BP2,13
IL12RB1,13
SDC4,13
TAF11,13
DLG2,13
CBS,13
EFNB1,13
HELLS,13
EPHB2,13
CENPJ,13
VAPB,13
FOSB,13
UNG,13
PLXNA3,13
NEDD4L,13
AHSA1,13
DNM1,13
PEX3,13
STT3A,13
RAB3A,13
FIS1,13
SNUPN,13
MMP14,13
ARAF,13
CHAF1B,13
WDR25,13
IL23A,13
PDE5A,13
PPP3CA,13
FAM32A,13
ITPR2,13
HSPB2,13
PDE10A,13
LAMC2,13
LAG3,13
NEFL,13
SLC2A1,13
CACNG4,13
NR0B1,13
DGKZ,13
CDA,13
PLN,13
COL6A3,13
XPOT,13
ZFP36,13
PTPN1,13
NPPA,13
JARID2,13
TUBB2A,13
SUMO3,13
PPP4C,13
MYH11,13
PPP5C,12
GTF2E2,12
PCCB,12
ILK,12
DPYD,12
HADHA,12
PLEK2,12
THBS3,12
RAPGEF3,12
ACACA,12
ARHGAP11A,12
DDX31,12
KIF5A,12
PDIA6,12
IVL,12
PDIA4,12
CTNNA2,12
POLQ,12
CD1C,12
EZH1,12
ACVR2A,12
HLA-G,12
KLF4,12
PLD2,12
GRIA3,12
ACAT1,12
PPP3CB,12
CSE1L,12
GNGT1,12
GABBR1,12
RAPGEF4,12
PDE2A,12
PDE1A,12
MTHFD2,12
TREM2,12
BMP7,12
ALDH1A1,12
SLC9A1,12
LAMB3,12
FANCL,12
IL10RB,12
RBM15,12
WTAP,12
METTL3,12
RPS6KB2,12
WNT6,12
TCF3,12
UGT2B15,12
DKK2,12
WNT16,12
RBM14,12
GAB2,12
ARHGEF11,12
ATAD2,12
ACTA2,12
MYL9,12
PAPOLB,12
PAPOLG,12
PPP2R3A,12
IL12RB2,12
APBB1,12
PIK3R4,12
IGF2BP3,11
SDCBP,11
EPHA3,11
CHAF1A,11
STAU1,11
DUSP1,11
DONSON,11
SOCS2,11
KIF5C,11
THBS4,11
NME1,11
AKR1C3,11
HLA-DMA,11
GUCY1A2,11
PLA2G7,11
CCL18,11
WIF1,11
PSMD9,11
RAD54B,11
DSG2,11
CD1A,11
NEIL3,11
SHC3,11
DAAM1,11
IMMT,11
BBOX1,11
MORF4L2,11
DPP4,11
YEATS2,11
TAP1,11
COL4A6,11
NTRK3,11
EXOSC9,11
GNG11,11
SOX10,11
ABCF1,11
SMARCD3,11
SMO,11
GLI1,11
YEATS4,11
SMARCD1,11
COX7A1,11
TFDP2,11
NLGN4X,11
RNPS1,11
NASP,11
GCLC,11
MMP13,11
BCAP31,11
DDOST,11
TRAP1,11
HOMER1,11
KL,11
AOC3,11
CLPP,11
FZD6,11
MAML1,11
SPRR1B,11
HAMP,11
ENTPD6,11
STAG2,11
MUTYH,11
EDN3,11
AKR1B1,11
RRAGC,11
GLI3,11
TGFBR2,11
AMPH,11
PRLR,11
GHR,11
GJA1,11
HSPA6,10
CACNA2D2,10
SCN3B,10
ARNT,10
HDAC5,10
SRF,10
LAMB2,10
KPNA3,10
GLP1R,10
DNAJC9,10
RBBP6,10
IMPDH2,10
UBAP2L,10
UBA2,10
PRKD1,10
NTF3,10
CBX6,10
DGUOK,10
CD22,10
SAE1,10
GPHN,10
CXCL14,10
GNG5,10
PARVB,10
SPRR3,10
ZBTB16,10
VDAC3,10
COL9A2,10
NVL,10
CDK5RAP2,10
LAS1L,10
HGS,10
ARG1,10
PMAIP1,10
RIMS1,10
CETP,10
AMT,10
NPR2,10
DNAJA2,10
DDX17,10
EIF4B,10
EDC3,10
STAG1,10
MGLL,10
PGM5,10
RANBP1,10
NDE1,10
MYL3,10
NDUFB4,10
PAXIP1,10
CTSK,10
STIL,10
AKR1B10,10
TUBG1,10
RPN1,10
ACACB,10
TNFRSF10B,10
AVPR2,10
DCLRE1C,10
VPS72,10
ATP6V0C,10
BIN1,10
POLG2,10
SAP30,10
RBM41,10
ATP1A1,10
TIMP3,10
UTRN,10
